product_id,product_name,category,price,review_score,review_count,Sale_January,Sale_Feb,Sale_March,Sale_April,Sale_May,Sale_June,Sale_July,Sale_Aug,Sale_Sept,Sale_Oct,Sale_Nov,Sale_Dec,Revenue_Jan,Revenue_Feb,Revenue_March,Revenue_April,Revenue_may,Revenue_june,Revenue_july,Revenue_Aug,Revenue_Sept,Revenue_Oct,Revenue_Nov,Revenue_Dec,Revenue
1,Product_1,Clothing,190.4,1.7,220,479,449,92,784,604,904,446,603,807,252,695,306,91201.6,85489.6,17516.8,149273.6,115001.6,172121.6,84918.4,114811.2,153652.8,47980.8,132328,58262.4,1222558.4
2,Product_2,Home & Kitchen,475.6,3.2,903,21,989,861,863,524,128,610,436,176,294,772,353,9987.6,470368.4,409491.6,410442.8,249214.4,60876.8,290116,207361.6,83705.6,139826.4,367163.2,167886.8,2866441.2
3,Product_3,Toys,367.34,4.5,163,348,558,567,143,771,409,290,828,340,667,267,392,127834.32,204975.72,208281.78,52529.62,283219.14,150242.06,106528.6,304157.52,124895.6,245015.78,98079.78,143997.28,2049757.2
4,Product_4,Toys,301.34,3.9,951,725,678,59,15,937,421,670,933,56,157,168,203,218471.5,204308.52,17779.06,4520.1,282355.58,126864.14,201897.8,281150.22,16875.04,47310.38,50625.12,61172.02,1513329.48
5,Product_5,Books,82.23,4.2,220,682,451,649,301,620,293,411,258,854,548,770,257,56080.86,37085.73,53367.27,24751.23,50982.6,24093.39,33796.53,21215.34,70224.42,45062.04,63317.1,21133.11,501109.62
6,Product_6,Toys,82.22,3.6,270,834,288,38,422,329,245,614,979,851,630,738,485,68571.48,23679.36,3124.36,34696.84,27050.38,20143.9,50483.08,80493.38,69969.22,51798.6,60678.36,39876.7,530565.66
7,Product_7,Electronics,33.75,3.8,632,565,140,539,244,188,700,896,965,447,66,32,516,19068.75,4725,18191.25,8235,6345,23625,30240,32568.75,15086.25,2227.5,1080,17415,178807.5
8,Product_8,Electronics,433.76,4.4,906,905,83,48,926,94,555,280,102,202,753,376,445,392552.8,36002.08,20820.48,401661.76,40773.44,240736.8,121452.8,44243.52,87619.52,326621.28,163093.76,193023.2,2068601.44
9,Product_9,Electronics,302.55,2,848,809,693,419,106,616,85,42,992,696,298,213,708,244762.95,209667.15,126768.45,32070.3,186370.8,25716.75,12707.1,300129.6,210574.8,90159.9,64443.15,214205.4,1717576.35
10,Product_10,Clothing,355.5,3,400,319,390,636,87,7,555,485,566,632,462,561,179,113404.5,138645,226098,30928.5,2488.5,197302.5,172417.5,201213,224676,164241,199435.5,63634.5,1734484.5
11,Product_11,Toys,15.19,1.9,182,125,590,12,128,66,841,595,768,737,724,439,341,1898.75,8962.1,182.28,1944.32,1002.54,12774.79,9038.05,11665.92,11195.03,10997.56,6668.41,5179.79,81509.54
12,Product_12,Health,485.11,5,991,276,214,991,906,495,374,962,100,201,819,491,132,133890.36,103813.54,480744.01,439509.66,240129.45,181431.14,466675.82,48511,97507.11,397305.09,238189.01,64034.52,2891740.71
13,Product_13,Electronics,417.06,4.8,618,975,525,35,886,190,445,702,197,329,100,392,442,406633.5,218956.5,14597.1,369515.16,79241.4,185591.7,292776.12,82160.82,137212.74,41706,163487.52,184340.52,2176219.08
14,Product_14,Books,110.11,1.2,729,203,214,100,340,365,377,50,812,362,55,488,835,22352.33,23563.54,11011,37437.4,40190.15,41511.47,5505.5,89409.32,39859.82,6056.05,53733.68,91941.85,462572.11
15,Product_15,Clothing,95,3.8,205,193,402,793,3,767,389,897,225,891,331,721,252,18335,38190,75335,285,72865,36955,85215,21375,84645,31445,68495,23940,557080
16,Product_16,Books,95.79,4.7,582,680,127,85,326,520,656,209,942,453,835,945,264,65137.2,12165.33,8142.15,31227.54,49810.8,62838.24,20020.11,90234.18,43392.87,79984.65,90521.55,25288.56,578763.18
17,Product_17,Toys,155.6,1.7,556,663,821,515,409,989,50,125,462,355,750,28,92,103162.8,127747.6,80134,63640.4,153888.4,7780,19450,71887.2,55238,116700,4356.8,14315.2,818300.4
18,Product_18,Home & Kitchen,264.75,3.3,841,546,476,222,878,116,241,491,236,215,392,38,661,144553.5,126021,58774.5,232450.5,30711,63804.75,129992.25,62481,56921.25,103782,10060.5,174999.75,1194552
19,Product_19,Books,218.81,4.7,813,695,759,337,305,266,293,508,25,971,742,858,410,152072.95,166076.79,73738.97,66737.05,58203.46,64111.33,111155.48,5470.25,212464.51,162357.02,187738.98,89712.1,1349838.89
20,Product_20,Home & Kitchen,149.16,1.1,228,285,403,959,907,610,919,959,120,554,873,611,137,42510.6,60111.48,143044.44,135288.12,90987.6,137078.04,143044.44,17899.2,82634.64,130216.68,91136.76,20434.92,1094386.92
21,Product_21,Clothing,307.87,3.8,696,56,28,165,606,484,562,969,909,886,380,172,207,17240.72,8620.36,50798.55,186569.22,149009.08,173022.94,298326.03,279853.83,272772.82,116990.6,52953.64,63729.09,1669886.88
22,Product_22,Books,74.05,2.2,619,733,791,382,720,508,265,580,505,22,91,16,636,54278.65,58573.55,28287.1,53316,37617.4,19623.25,42949,37395.25,1629.1,6738.55,1184.8,47095.8,388688.45
23,Product_23,Books,149.61,4.7,596,302,337,855,224,297,119,776,181,154,790,55,745,45182.22,50418.57,127916.55,33512.64,44434.17,17803.59,116097.36,27079.41,23039.94,118191.9,8228.55,111459.45,723364.35
24,Product_24,Sports,186.35,4.9,850,162,830,894,970,908,711,257,710,185,446,225,572,30188.7,154670.5,166596.9,180759.5,169205.8,132494.85,47891.95,132308.5,34474.75,83112.1,41928.75,106592.2,1280224.5
25,Product_25,Clothing,230.75,4.8,250,18,713,375,347,163,916,929,813,248,108,557,306,4153.5,164524.75,86531.25,80070.25,37612.25,211367,214366.75,187599.75,57226,24921,128527.75,70609.5,1267509.75
26,Product_26,Clothing,393.66,2.9,875,369,360,470,991,375,247,187,766,748,316,66,265,145260.54,141717.6,185020.2,390117.06,147622.5,97234.02,73614.42,301543.56,294457.68,124396.56,25981.56,104319.9,2031285.6
27,Product_27,Electronics,103.84,4.4,441,263,568,789,320,652,69,229,633,804,167,196,645,27309.92,58981.12,81929.76,33228.8,67703.68,7164.96,23779.36,65730.72,83487.36,17341.28,20352.64,66976.8,553986.4
28,Product_28,Toys,259.55,4.4,533,793,391,641,558,267,852,188,542,133,811,653,317,205823.15,101484.05,166371.55,144828.9,69299.85,221136.6,48795.4,140676.1,34520.15,210495.05,169486.15,82277.35,1595194.3
29,Product_29,Books,298.25,2.3,196,112,217,30,987,548,56,414,983,320,981,834,112,33404,64720.25,8947.5,294372.75,163441,16702,123475.5,293179.75,95440,292583.25,248740.5,33404,1668410.5
30,Product_30,Books,27.99,4.3,690,487,573,374,180,73,381,9,314,389,919,22,900,13631.13,16038.27,10468.26,5038.2,2043.27,10664.19,251.91,8788.86,10888.11,25722.81,615.78,25191,129341.79
31,Product_31,Health,305.73,1.1,929,326,668,10,617,507,38,113,990,433,434,998,377,99667.98,204227.64,3057.3,188635.41,155005.11,11617.74,34547.49,302672.7,132381.09,132686.82,305118.54,115260.21,1684878.03
32,Product_32,Clothing,89.41,3.4,987,541,201,987,710,72,983,75,796,21,441,605,453,48370.81,17971.41,88247.67,63481.1,6437.52,87890.03,6705.75,71170.36,1877.61,39429.81,54093.05,40502.73,526177.85
33,Product_33,Clothing,37.2,1.9,519,646,16,301,385,307,800,675,617,872,217,753,190,24031.2,595.2,11197.2,14322,11420.4,29760,25110,22952.4,32438.4,8072.4,28011.6,7068,214978.8
34,Product_34,Toys,474.7,1.5,70,578,321,95,617,198,442,501,735,599,221,236,890,274376.6,152378.7,45096.5,292889.9,93990.6,209817.4,237824.7,348904.5,284345.3,104908.7,112029.2,422483,2579045.1
35,Product_35,Clothing,482.99,1.3,639,64,517,189,791,129,17,84,272,664,672,956,439,30911.36,249705.83,91285.11,382045.09,62305.71,8210.83,40571.16,131373.28,320705.36,324569.28,461738.44,212032.61,2315454.06
36,Product_36,Home & Kitchen,405.16,3.8,399,291,569,452,771,757,951,48,909,124,527,918,186,117901.56,230536.04,183132.32,312378.36,306706.12,385307.16,19447.68,368290.44,50239.84,213519.32,371936.88,75359.76,2634755.48
37,Product_37,Home & Kitchen,155.78,2.4,978,24,324,191,107,823,731,494,231,78,277,922,830,3738.72,50472.72,29753.98,16668.46,128206.94,113875.18,76955.32,35985.18,12150.84,43151.06,143629.16,129297.4,783884.96
38,Product_38,Sports,53.35,3.9,672,548,411,485,530,571,824,837,419,857,568,565,366,29235.8,21926.85,25874.75,28275.5,30462.85,43960.4,44653.95,22353.65,45720.95,30302.8,30142.75,19526.1,372436.35
39,Product_39,Home & Kitchen,343.7,1.3,760,0,317,265,409,790,755,688,767,967,573,137,88,0,108952.9,91080.5,140573.3,271523,259493.5,236465.6,263617.9,332357.9,196940.1,47086.9,30245.6,1978337.2
40,Product_40,Home & Kitchen,222.88,2.3,203,910,680,423,970,614,351,386,441,50,874,472,186,202820.8,151558.4,94278.24,216193.6,136848.32,78230.88,86031.68,98290.08,11144,194797.12,105199.36,41455.68,1416848.16
41,Product_41,Toys,65.41,3.2,148,548,964,127,295,807,971,969,495,727,465,844,818,35844.68,63055.24,8307.07,19295.95,52785.87,63513.11,63382.29,32377.95,47553.07,30415.65,55206.04,53505.38,525242.3
42,Product_42,Books,250.11,4.2,472,140,81,237,817,831,815,388,23,175,838,783,945,35015.4,20258.91,59276.07,204339.87,207841.41,203839.65,97042.68,5752.53,43769.25,209592.18,195836.13,236353.95,1518918.03
43,Product_43,Home & Kitchen,22.02,2.3,655,743,473,919,170,486,297,217,108,869,753,552,131,16360.86,10415.46,20236.38,3743.4,10701.72,6539.94,4778.34,2378.16,19135.38,16581.06,12155.04,2884.62,125910.36
44,Product_44,Sports,455.11,3.5,944,647,467,354,330,852,282,700,702,252,601,609,871,294456.17,212536.37,161108.94,150186.3,387753.72,128341.02,318577,319487.22,114687.72,273521.11,277161.99,396400.81,3034218.37
45,Product_45,Clothing,133.1,4.5,199,900,424,939,492,150,585,980,501,965,583,694,634,119790,56434.4,124980.9,65485.2,19965,77863.5,130438,66683.1,128441.5,77597.3,92371.4,84385.4,1044435.7
46,Product_46,Home & Kitchen,332.95,3.5,917,187,944,111,194,668,109,345,858,245,837,639,559,62261.65,314304.8,36957.45,64592.3,222410.6,36291.55,114867.75,285671.1,81572.75,278679.15,212755.05,186119.05,1896483.2
47,Product_47,Sports,159.3,1.9,426,127,730,827,11,205,179,229,24,738,29,228,799,20231.1,116289,131741.1,1752.3,32656.5,28514.7,36479.7,3823.2,117563.4,4619.7,36320.4,127280.7,657271.8
48,Product_48,Toys,262.43,1.1,666,200,688,445,194,985,937,254,186,105,358,316,375,52486,180551.84,116781.35,50911.42,258493.55,245896.91,66657.22,48811.98,27555.15,93949.94,82927.88,98411.25,1323434.49
